,Entropy
0,7.5283136139293045
1,0.0
2,8.034999883780108
3,8.653657117314369
4,6.839476485481716
5,8.785046514681499
6,0.0
7,6.046645337276261
8,7.860960921490547
9,6.5018472556822235
10,6.27690568319095
11,7.796321195299363
12,8.692792328440436
13,7.760193418679625
14,8.69926312535161
15,8.491418501485391
16,8.574803722123134
17,7.706223948410136
18,8.269813876344367
19,8.504756802594427
20,7.7057995554857825
21,0.0
22,8.703970838748612
23,7.773171683809583
