,Entropy
0,8.01188403078014
1,8.01188403078014
2,8.01188403078014
3,8.01188403078014
4,8.01188403078014
5,8.01188403078014
6,8.01188403078014
7,8.01188403078014
8,8.011884030779607
9,8.011884030775041
10,8.011884030744062
11,8.011884030471604
12,8.011884027879082
13,8.011884012718232
14,8.011883863085837
15,8.01188232410795
16,8.011873626899485
17,8.011807291518688
18,8.011267482452885
19,8.00702415571847
20,7.98109752518276
21,7.822398879328839
22,7.081810632881403
