,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget,PrS1,PrS2,RealSender
0,5_2,Real,0.06676572829373226,0.773816930552629,"[0.008167512729838533, 0.42071175559348367, 0.0975293682581693, 0.18881007840724384, 0]","[Client id: 5, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,5
1,3_2,Real,0.2181999155686184,0.9267504811956463,"[0.06214803019777925, 0.23616331851565694, 0.03260851134118322, 0.4397787357701877, 0]","[Client id: 3, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,3
2,7_2,Real,0.38858313273135825,1.0269699795768286,"[0.3178617024610024, 0.053888307494120186, 0.5594457683685964, 0.025052770982753738, 0]","[Client id: 7, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,7
3,0_2,Real,0.1725134848129098,1.2631169931036146,"[0.07844100799200733, 0.1903153661868766, 0.7306082711025991, 0.16967987100122894, 0]","[Client id: 0, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0
4,4_2,Real,0.12290606824628526,1.2966559288316575,"[0.08493889048990705, 0.4977305447754715, 0.3443852852131927, 0.331634030596708, 0]","[Client id: 4, ( id: 3, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,4
5,1_4,Real,0.18239890465496997,1.375879971479011,"[0.00020653880987093717, 0.6194164023325757, 0.019933650926239093, 0.5541310135652263, 0]","[Client id: 1, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,1
6,5_3,Real,0.07585144753354546,1.411624891241023,"[0.009085719239813198, 0.34877342783879056, 0.6027097565609587, 0.3842902593077281, 0]","[Client id: 5, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,5
7,0_8,Real,1.0879073646486659,1.4389334513094643,"[0.23494248542864316, 0.02818368455477341, 0.16910269963269658, 0.1537397024733284, 0]","[Client id: 0, ( id: 3, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0
8,6_13,Real,1.20574591145903,1.6900805017777494,"[0.012312992946332597, 0.0009514693262395815, 0.4016058154165994, 0.08177730557588035, 0]","[Client id: 6, ( id: 1, corrupt: False ), ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6
9,6_7,Real,0.6630838771979223,1.6953642911185711,"[0.0008282659378527515, 0.42565764757433633, 0.02326592264255105, 0.5833568437037614, 0]","[Client id: 6, ( id: 2, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6
10,8_4,Real,0.44483791718235977,1.7201478135135906,"[0.2453099126148368, 0.40841641768859893, 0.22511368550970778, 0.6417797931329242, 0]","[Client id: 8, ( id: 1, corrupt: False ), ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,8
11,8_1,Real,0.022450490141268375,1.7570180935713005,"[0.022450490141268375, 0.8346819234151905, 0.284052545318652, 0.6158331346961896, 0]","[Client id: 8, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,8
12,0_9,Real,1.0986875061960861,1.7715660370698938,"[0.010780141547420328, 0.3194028997489815, 0.16506084636095936, 0.18841478476386686, 0]","[Client id: 0, ( id: 1, corrupt: False ), ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0
13,3_5,Real,0.48321399918185015,1.8143756394644028,"[0.13814178966286855, 0.16354043189964196, 0.28671644852817607, 0.8809047598547346, 0]","[Client id: 3, ( id: 2, corrupt: False ), ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,3
