,Entropy
0,7.096866642266922
1,6.491619438166429
2,6.86129858918665
3,6.236430945931963
4,6.360288019367053
5,6.3890416894945306
6,6.925740791472002
7,6.647374407817962
8,7.0166786398390295
9,6.712851626899864
10,6.869191605485331
