,DroppingNode,DummyID,DummyType,DummyTimeLeft,DummyDelay,DummyRoute,DummyPr
14,8,d_4_6,Dummy,0,"[0, 0, 1.0425713865518085, 0.6301769007295362, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 66]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,8,d_6_7,Dummy,0,"[0, 0, 0.8150014666493945, 1.1296284772985474, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,7,d_5_6,Dummy,0,"[0, 0, 1.586097061347263, 0.8856251486868344, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 72]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,9,d_4_4,Dummy,0,"[0, 0, 2.2860297130658838, 0.43431360971036287, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 76]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,8,d_4_5,Dummy,0,"[0, 0, 2.0476445973978152, 3.48876105757909, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,9,d_4_8,Dummy,0,"[0, 0, 1.2907038242545426, 0.7570947978015646, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,7,d_6_8,Dummy,0,"[0, 0, 1.5816485566435894, 1.1035798478412828, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,7,d_5_9,Dummy,0,"[0, 0, 0.07073583506426823, 0.2698119526832099, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 40]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,8,d_4_10,Dummy,0,"[0, 0, 0.5024329840576962, 0.002867828366187532, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 65]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,7,d_6_11,Dummy,0,"[0, 0, 0.5560886248885605, 2.3401865721900545, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 82]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
