,MessageID,PrS1,PrS2,RealSender,Sampling
0,2_6,0.0,1.0,2,True
1,2_5,0.0,1.0,2,True
2,2_7,0.0,1.0,2,True
3,1_11,0.07869231519332955,0.0,1,True
4,2_9,0.0,1.0,2,True
5,1_8,0.01830945621795295,0.0,1,True
6,2_4,0.0,1.0,2,True
7,1_14,0.008278841330516396,0.0,1,True
8,2_8,0.0,1.0,2,True
9,2_11,0.00955826747001286,0.0040574809805579036,2,True
10,2_12,0.0,1.0,2,True
11,1_9,1.0,0.0,1,True
12,2_10,0.0077008871742221706,0.06280420991926183,2,True
13,1_18,0.1432134809586989,0.0,1,True
14,1_17,0.05620618189843194,0.0,1,True
15,1_10,1.0,0.0,1,True
16,1_13,0.01804638408052831,0.0014731443110961712,1,True
17,2_13,0.0,1.0,2,True
18,1_15,1.0,0.0,1,True
19,1_12,1.0,0.0,1,True
20,2_14,0.00029512790606838954,0.05685131195335277,2,True
21,1_16,0.015591665141845214,0.0033587722986769017,1,True
22,1_23,1.0,0.0,1,True
23,1_24,1.0,0.0,1,True
24,1_20,0.06823800265439714,0.0,1,True
25,1_19,1.0,0.0,1,True
26,2_18,0.010325845549136854,0.10287837808827052,2,True
27,1_21,0.03493474251178131,0.007160520342686067,1,True
28,1_25,0.05685251908823651,0.014387984045926129,1,True
29,2_15,0.0,1.0,2,True
30,2_16,0.0001221468150013661,0.0815651960492652,2,True
31,1_22,0.003658660496987541,0.004135721871033054,1,True
32,2_17,0.0,1.0,2,True
33,2_19,3.7671247329822854e-05,0.06432266949113272,2,True
34,2_20,0.0,1.0,2,True
35,2_23,1.6409489857284917e-06,0.058234325515637446,2,True
36,2_21,2.019629520896605e-06,0.0716730160192461,2,True
37,1_27,0.03893250720437909,0.0014792692772156726,1,True
38,2_22,0.00026323643281577196,0.1008410339801597,2,True
39,2_24,0.0,1.0,2,True
40,1_30,1.0,0.0,1,True
41,1_29,1.0,0.0,1,True
42,1_26,0.001642122529795151,0.0008313817885710671,1,True
43,2_27,2.390629068586729e-06,0.11206981793665062,2,True
44,1_28,1.0,0.0,1,True
45,2_25,3.082671913033909e-06,0.06391936226971956,2,True
46,1_31,1.0,0.0,1,True
47,2_28,0.0,1.0,2,True
48,2_26,0.0012117202534958132,0.049630133556569596,2,True
49,1_32,1.0,0.0,1,True
50,1_33,0.014169550529726892,0.0,1,True
51,2_30,0.12753433483826096,0.08375935833952337,2,True
52,1_38,0.0769230775288728,2.1498605017098564e-05,1,True
53,1_34,0.04120801451416258,0.02481906176127467,1,True
54,2_32,0.004471032015517205,0.009141440469428351,2,True
55,2_29,0.0,1.0,2,True
56,1_35,1.0,0.0,1,True
57,1_36,1.0,0.0,1,True
58,1_42,1.0,0.0,1,True
59,1_39,1.0,0.0,1,True
60,2_34,0.0,1.0,2,True
61,2_31,0.0,1.0,2,True
62,1_41,0.010291257984398706,0.00901540768281161,1,True
63,1_37,1.0,0.0,1,True
64,2_35,0.0,1.0,2,True
65,1_40,0.028995256974691293,1.9510533003658562e-06,1,True
66,2_33,0.0024567048288072877,0.0015137809385541048,2,True
67,1_43,1.0,0.0,1,True
68,2_37,0.0,1.0,2,True
69,2_38,0.0,1.0,2,True
70,1_44,1.0,0.0,1,True
71,2_36,0.0017309328528992997,0.010867290578701616,2,True
72,2_41,0.0,1.0,2,True
73,1_45,1.0,0.0,1,True
74,2_42,0.0,1.0,2,True
75,2_39,0.0023928067604837193,0.006016498077227095,2,True
76,2_43,0.005266769187565353,0.024777713182399953,2,True
77,1_47,1.0,0.0,1,True
78,2_40,0.0,1.0,2,True
79,1_48,0.0659366091867639,1.037309933613213e-06,1,True
80,1_46,0.019272174451385193,8.768828240509125e-10,1,True
81,1_50,1.0,0.0,1,True
82,1_52,1.0,0.0,1,True
83,2_45,0.0,1.0,2,True
84,2_44,0.009773555459923193,0.01807586690071206,2,True
85,1_53,0.07516446346786393,0.0007468343057489134,1,True
86,2_49,0.0,1.0,2,True
87,1_51,1.0,0.0,1,True
88,1_49,0.025944165274586227,1.8029175803432694e-07,1,True
89,2_46,0.05240710342506853,0.029283286612115253,2,True
90,1_55,0.06664611713444037,0.006835228543452713,1,True
91,1_54,0.08164640846147415,0.045621204446943786,1,True
92,2_48,0.0,1.0,2,True
93,2_47,0.0,1.0,2,True
94,1_58,0.09675849795080935,2.3161008511380767e-08,1,True
95,1_56,1.0,0.0,1,True
96,2_51,0.004770662011440924,0.010603755475656526,2,True
97,2_50,0.0,1.0,2,True
