,Entropy
0,9.23803682768307
1,9.283948805528905
2,9.43213071537973
3,9.395124459816259
4,9.289894118065188
5,9.238803075975218
6,9.2392233484054
7,9.30080988875818
8,9.356867736096046
9,9.382869716406052
10,9.385329079520144
11,9.37644824188626
12,9.305827248252546
13,9.302665449599532
14,9.265949198651768
15,9.312306363301257
16,9.402049812389414
17,9.32363500897794
18,9.384593130530678
19,9.308569042029095
20,9.25622162069685
21,9.25788326975616
22,9.340063029075319
23,9.381076412912543
