,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
4287,60_38,Real,42.58999771993558,"[1.2087252015639947, 0.36771019128126226, 2.009486643494728, 0.6135545573200992, 0]","[Client id: 60, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 63]"
4288,71_44,Real,42.609344749763906,"[0.739378440507179, 2.6360836514537094, 1.973331543250621, 0.9901057687638158, 0]","[Client id: 71, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 11]"
4289,14_47,Real,42.6100661298001,"[0.9249606687394444, 0.7070130505266031, 2.2831368575137017, 0.4071819446917169, 0]","[Client id: 14, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 60]"
4290,60_39,Real,42.6106123363875,"[0.020614616451917183, 0.9821150411482259, 3.140056692503414, 0.7601413819864062, 0]","[Client id: 60, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 64]"
4291,0_38,Real,42.61233955221708,"[0.1417534791765978, 1.0184459873563432, 3.9739178923840286, 1.6667516628833088, 0]","[Client id: 0, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 78]"
4292,86_43,Real,42.61645620674765,"[0.3559456729972175, 2.431353062297947, 0.6609181913574974, 0.751804643450588, 0]","[Client id: 86, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 29]"
4293,3_43,Real,42.621288637619735,"[0.6141265051407562, 0.6334624356968374, 0.7308087667653801, 0.9555320768938648, 0]","[Client id: 3, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 99]"
4294,36_47,Real,42.63247086250039,"[0.9366266723681562, 0.6473234496381046, 3.1828117578201027, 2.3352307778981984, 0]","[Client id: 36, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 24]"
4295,12_51,Real,42.64037188453538,"[0.1890169727361755, 0.07298845767598407, 1.2801784870295672, 0.7801246052209444, 0]","[Client id: 12, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 99]"
4296,86_44,Real,42.64322163012406,"[0.026765423376407752, 0.8585202377072368, 0.05823048436602317, 0.5668900000274663, 0]","[Client id: 86, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), Client id: 56]"
4297,17_47,Real,42.64632006052624,"[0.8525443201285914, 0.8315509023941569, 0.7013606234737755, 0.41311734388428323, 0]","[Client id: 17, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 85]"
4298,98_45,Real,42.64720342489261,"[0.4916616359566424, 0.8081890505596181, 2.0299751677869406, 1.812287606929742, 0]","[Client id: 98, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 40]"
4299,87_38,Real,42.65238706394838,"[0.7981433595849781, 0.47916929800471375, 0.0269252696631664, 0.028827203951290552, 0]","[Client id: 87, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 78]"
4300,65_42,Real,42.67882668772028,"[0.8569835744061376, 0.23881648540842504, 0.9873837105514504, 0.985031550442713, 0]","[Client id: 65, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 24]"
4301,38_48,Real,42.69492399904921,"[2.115964955568864, 0.41549324436555846, 0.73035546266225, 0.11408657622180828, 0]","[Client id: 38, ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), Client id: 84]"
4302,44_38,Real,42.705633002801775,"[1.1758674589519658, 2.3363505757777037, 0.7754493797225167, 2.0333161245722033, 0]","[Client id: 44, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 7]"
4303,22_54,Real,42.70917660038317,"[2.608901097064312, 0.1751931622367566, 0.8055249233728106, 3.6659466223408375, 0]","[Client id: 22, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 73]"
4304,41_44,Real,42.72695755323602,"[0.7467402413422994, 3.6018735222556995, 0.4379295256095357, 0.25466216401841896, 0]","[Client id: 41, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 85]"
4305,16_41,Real,42.73055091797555,"[0.24021060989027987, 0.8303962947503811, 3.3649539305898735, 0.6000220222198606, 0]","[Client id: 16, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 10, corrupt: False ), ( id: 11, corrupt: False ), ( id: 12, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 3]"
4306,86_45,Real,42.730807403664336,"[0.08758577354027344, 0.6046856290023899, 0.4066602877054573, 0.5764478399289068, 0]","[Client id: 86, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 12]"
4307,24_45,Real,42.73750186201591,"[0.21214307565779567, 0.10463188727602231, 1.7825848302084948, 1.8032333950528971, 0]","[Client id: 24, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 62]"
4308,92_36,Real,42.74360621137931,"[0.2760608033627752, 4.41268239342722, 1.5687517885694178, 0.0352437655491356, 0]","[Client id: 92, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 42]"
4309,56_39,Real,42.75089606185099,"[0.5573728205411183, 0.07731751060081551, 0.07983186118042068, 0.728669930715994, 0]","[Client id: 56, ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), Client id: 87]"
4310,77_43,Real,42.76407755661114,"[3.095043583900088, 0.5855805937997771, 0.12099271150048312, 2.067192744843199, 0]","[Client id: 77, ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 15]"
4311,28_35,Real,42.773300833653174,"[1.340121404244175, 1.7114220228681993, 0.5262742202571857, 1.6708192738766898, 0]","[Client id: 28, ( id: 13, corrupt: False ), ( id: 14, corrupt: False ), ( id: 15, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), Client id: 20]"
4312,0_39,Real,42.81045941593813,"[0.19811986372105106, 0.12566002282785374, 0.6365292571690485, 2.129542310789223, 0]","[Client id: 0, ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), ( id: 7, corrupt: False ), ( id: 8, corrupt: False ), ( id: 9, corrupt: False ), ( id: 16, corrupt: False ), ( id: 17, corrupt: False ), ( id: 18, corrupt: False ), Client id: 21]"
4313,81_37,Real,42.811450873186644,"[1.4808346164316142, 1.3575543879456484, 0.7861434043413934, 1.1072146974909536, 0]","[Client id: 81, ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), ( id: 1, corrupt: False ), ( id: 2, corrupt: False ), ( id: 3, corrupt: False ), ( id: 4, corrupt: False ), ( id: 5, corrupt: False ), ( id: 6, corrupt: False ), Client id: 42]"
